Castelletto,Jean-Charles,Nantes
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,72
NON_PEN_XG,0.06,75
TOTAL_SHOTS,0.53,58
ASSISTS,0.00,28
XA,0.01,27
NON_PEN_XG+XA,0.07,55
SHOT_CREATIONS,0.40,28
PASSES_ATTEMPTED,36.17,7
PASS_COMPLETION_PERCENTAGE,84.1,32
PROGRESSIVE_PASSES,2.30,36
PROGRESSIVE CARRIES,1.70,26
DRIBBLES_COMPLETED,0.17,36
TOUCHES_IN_AREA,0.70,37
PROGRESSIVE_PASSES_RECIEVED,0.03,8
PRESSURES,7.89,36
TACKLES,1.53,54
INTERCEPTIONS,1.50,31
BLOCKS,1.50,34
CLEARANCES,5.16,55
AERIAL_DUELS_WON,2.66,54
