Kamara,Hassane,Nice
DM,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,78
NON_PEN_XG,0.07,77
TOTAL_SHOTS,1.10,89
ASSISTS,0.00,8
XA,0.08,55
NON_PEN_XG+XA,0.15,66
SHOT_CREATIONS,1.35,31
PASSES_ATTEMPTED,55.59,64
PASS_COMPLETION_PERCENTAGE,82.3,79
PROGRESSIVE_PASSES,3.65,52
PROGRESSIVE CARRIES,5.26,65
DRIBBLES_COMPLETED,1.06,70
TOUCHES_IN_AREA,1.75,67
PROGRESSIVE_PASSES_RECIEVED,2.89,76
PRESSURES,12.24,46
TACKLES,2.26,64
INTERCEPTIONS,1.75,62
BLOCKS,2.01,62
CLEARANCES,2.37,50
AERIAL_DUELS_WON,1.28,57
