Schneiderlin,Morgan,Nice
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,30
TOTAL_SHOTS,0.69,34
ASSISTS,0.07,54
XA,0.05,34
NON_PEN_XG+XA,0.10,29
SHOT_CREATIONS,1.46,32
PASSES_ATTEMPTED,62.94,79
PASS_COMPLETION_PERCENTAGE,87.8,81
PROGRESSIVE_PASSES,3.82,48
PROGRESSIVE CARRIES,3.12,32
DRIBBLES_COMPLETED,0.49,24
TOUCHES_IN_AREA,0.76,30
PROGRESSIVE_PASSES_RECIEVED,1.11,24
PRESSURES,17.90,46
TACKLES,2.36,56
INTERCEPTIONS,2.22,88
BLOCKS,1.53,49
CLEARANCES,2.36,89
AERIAL_DUELS_WON,1.46,63
