Hakimi,Achraf,Paris S-G
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,95
NON_PEN_XG,0.08,86
TOTAL_SHOTS,0.87,77
ASSISTS,0.18,87
XA,0.18,93
NON_PEN_XG+XA,0.26,91
SHOT_CREATIONS,2.07,74
PASSES_ATTEMPTED,58.33,74
PASS_COMPLETION_PERCENTAGE,86.6,95
PROGRESSIVE_PASSES,3.80,57
PROGRESSIVE CARRIES,6.49,84
DRIBBLES_COMPLETED,1.08,71
TOUCHES_IN_AREA,3.71,96
PROGRESSIVE_PASSES_RECIEVED,4.44,95
PRESSURES,16.25,84
TACKLES,2.12,57
INTERCEPTIONS,1.17,17
BLOCKS,1.31,8
CLEARANCES,1.08,3
AERIAL_DUELS_WON,0.44,8
