Icardi,Mauro,Paris S-G
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,52
NON_PEN_XG,0.50,86
TOTAL_SHOTS,2.43,53
ASSISTS,0.17,68
XA,0.17,72
NON_PEN_XG+XA,0.66,85
SHOT_CREATIONS,1.87,28
PASSES_ATTEMPTED,15.54,4
PASS_COMPLETION_PERCENTAGE,81.2,93
PROGRESSIVE_PASSES,0.94,14
PROGRESSIVE CARRIES,0.88,3
DRIBBLES_COMPLETED,0.28,3
TOUCHES_IN_AREA,5.02,46
PROGRESSIVE_PASSES_RECIEVED,5.13,8
PRESSURES,14.44,50
TACKLES,0.55,36
INTERCEPTIONS,0.66,83
BLOCKS,0.44,12
CLEARANCES,0.99,80
AERIAL_DUELS_WON,1.16,28
