Berisha,Valon,Reims
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,25
TOTAL_SHOTS,0.86,43
ASSISTS,0.17,88
XA,0.05,36
NON_PEN_XG+XA,0.09,23
SHOT_CREATIONS,1.97,59
PASSES_ATTEMPTED,46.97,38
PASS_COMPLETION_PERCENTAGE,76.1,9
PROGRESSIVE_PASSES,4.54,68
PROGRESSIVE CARRIES,4.54,65
DRIBBLES_COMPLETED,0.77,50
TOUCHES_IN_AREA,1.63,75
PROGRESSIVE_PASSES_RECIEVED,3.26,85
PRESSURES,26.83,98
TACKLES,1.89,33
INTERCEPTIONS,1.11,20
BLOCKS,1.54,50
CLEARANCES,1.46,48
AERIAL_DUELS_WON,1.03,46
