Bourigeaud,Benjamin,Rennes
AM,WM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,43
NON_PEN_XG,0.17,34
TOTAL_SHOTS,1.72,33
ASSISTS,0.17,45
XA,0.25,82
NON_PEN_XG+XA,0.42,62
SHOT_CREATIONS,4.10,81
PASSES_ATTEMPTED,59.41,96
PASS_COMPLETION_PERCENTAGE,74.3,39
PROGRESSIVE_PASSES,6.16,96
PROGRESSIVE CARRIES,4.55,18
DRIBBLES_COMPLETED,0.54,4
TOUCHES_IN_AREA,2.58,15
PROGRESSIVE_PASSES_RECIEVED,5.53,35
PRESSURES,16.93,57
TACKLES,1.35,53
INTERCEPTIONS,1.12,72
BLOCKS,1.72,88
CLEARANCES,1.46,97
AERIAL_DUELS_WON,0.66,50
