Tait,Flavien,Rennes
LM,WM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,84
NON_PEN_XG,0.16,93
TOTAL_SHOTS,1.84,94
ASSISTS,0.22,93
XA,0.17,92
NON_PEN_XG+XA,0.33,96
SHOT_CREATIONS,3.90,97
PASSES_ATTEMPTED,56.40,65
PASS_COMPLETION_PERCENTAGE,86.3,69
PROGRESSIVE_PASSES,5.47,83
PROGRESSIVE CARRIES,8.33,97
DRIBBLES_COMPLETED,1.08,72
TOUCHES_IN_AREA,3.05,96
PROGRESSIVE_PASSES_RECIEVED,5.20,95
PRESSURES,15.99,28
TACKLES,2.20,48
INTERCEPTIONS,1.39,32
BLOCKS,1.12,13
CLEARANCES,0.36,1
AERIAL_DUELS_WON,0.49,9
