Guirassy,Sehrou,Rennes
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.41,64
NON_PEN_XG,0.43,71
TOTAL_SHOTS,3.25,84
ASSISTS,0.00,5
XA,0.07,18
NON_PEN_XG+XA,0.50,55
SHOT_CREATIONS,2.43,62
PASSES_ATTEMPTED,27.04,69
PASS_COMPLETION_PERCENTAGE,77.2,80
PROGRESSIVE_PASSES,1.30,39
PROGRESSIVE CARRIES,2.43,42
DRIBBLES_COMPLETED,1.60,82
TOUCHES_IN_AREA,6.63,86
PROGRESSIVE_PASSES_RECIEVED,10.71,96
PRESSURES,12.01,25
TACKLES,0.24,5
INTERCEPTIONS,0.30,30
BLOCKS,0.65,37
CLEARANCES,0.71,57
AERIAL_DUELS_WON,3.73,84
