Nordin,Arnaud,Saint-Étienne
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,38
NON_PEN_XG,0.26,74
TOTAL_SHOTS,2.23,64
ASSISTS,0.18,50
XA,0.20,63
NON_PEN_XG+XA,0.46,68
SHOT_CREATIONS,3.28,54
PASSES_ATTEMPTED,29.67,15
PASS_COMPLETION_PERCENTAGE,75.3,48
PROGRESSIVE_PASSES,1.96,12
PROGRESSIVE CARRIES,5.55,40
DRIBBLES_COMPLETED,1.14,26
TOUCHES_IN_AREA,3.64,42
PROGRESSIVE_PASSES_RECIEVED,4.60,17
PRESSURES,14.11,32
TACKLES,1.27,43
INTERCEPTIONS,0.77,35
BLOCKS,0.96,27
CLEARANCES,0.55,54
AERIAL_DUELS_WON,0.77,62
