Khazri,Wahbi,Saint-Étienne
AM,WM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,40
NON_PEN_XG,0.21,11
TOTAL_SHOTS,2.41,52
ASSISTS,0.04,14
XA,0.12,50
NON_PEN_XG+XA,0.33,14
SHOT_CREATIONS,2.53,65
PASSES_ATTEMPTED,25.76,63
PASS_COMPLETION_PERCENTAGE,68.1,21
PROGRESSIVE_PASSES,2.37,82
PROGRESSIVE CARRIES,4.42,79
DRIBBLES_COMPLETED,1.74,89
TOUCHES_IN_AREA,3.63,8
PROGRESSIVE_PASSES_RECIEVED,5.29,9
PRESSURES,15.72,62
TACKLES,1.42,95
INTERCEPTIONS,0.79,95
BLOCKS,0.79,58
CLEARANCES,0.55,43
AERIAL_DUELS_WON,0.40,5
