Caci,Anthony,Strasbourg
DF,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,26
TOTAL_SHOTS,0.37,24
ASSISTS,0.06,37
XA,0.09,59
NON_PEN_XG+XA,0.11,45
SHOT_CREATIONS,1.13,18
PASSES_ATTEMPTED,61.23,80
PASS_COMPLETION_PERCENTAGE,78.9,60
PROGRESSIVE_PASSES,5.41,92
PROGRESSIVE CARRIES,4.53,49
DRIBBLES_COMPLETED,0.93,62
TOUCHES_IN_AREA,0.79,20
PROGRESSIVE_PASSES_RECIEVED,1.22,18
PRESSURES,13.65,64
TACKLES,3.17,91
INTERCEPTIONS,2.18,87
BLOCKS,1.76,41
CLEARANCES,1.84,26
AERIAL_DUELS_WON,1.30,59
