Bellegarde,Jean-Ricner,Strasbourg
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,66
NON_PEN_XG,0.10,79
TOTAL_SHOTS,0.89,46
ASSISTS,0.08,58
XA,0.04,24
NON_PEN_XG+XA,0.14,52
SHOT_CREATIONS,1.36,26
PASSES_ATTEMPTED,37.65,16
PASS_COMPLETION_PERCENTAGE,79.7,26
PROGRESSIVE_PASSES,2.17,6
PROGRESSIVE CARRIES,4.04,53
DRIBBLES_COMPLETED,1.82,96
TOUCHES_IN_AREA,1.90,81
PROGRESSIVE_PASSES_RECIEVED,2.99,83
PRESSURES,17.12,38
TACKLES,2.56,68
INTERCEPTIONS,1.20,23
BLOCKS,1.55,52
CLEARANCES,0.78,13
AERIAL_DUELS_WON,1.01,45
