Ajorque,Ludovic,Strasbourg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,74
NON_PEN_XG,0.39,64
TOTAL_SHOTS,2.14,33
ASSISTS,0.14,57
XA,0.10,39
NON_PEN_XG+XA,0.49,54
SHOT_CREATIONS,2.20,48
PASSES_ATTEMPTED,28.95,77
PASS_COMPLETION_PERCENTAGE,72.9,51
PROGRESSIVE_PASSES,1.77,66
PROGRESSIVE CARRIES,1.74,17
DRIBBLES_COMPLETED,0.54,19
TOUCHES_IN_AREA,5.17,52
PROGRESSIVE_PASSES_RECIEVED,7.75,55
PRESSURES,14.20,46
TACKLES,1.26,89
INTERCEPTIONS,0.49,66
BLOCKS,0.71,44
CLEARANCES,1.17,89
AERIAL_DUELS_WON,5.23,94
