Schöpf,Alessandro,Arminia
AM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.10,7
TOTAL_SHOTS,1.58,26
ASSISTS,0.00,1
XA,0.10,10
NON_PEN_XG+XA,0.20,5
SHOT_CREATIONS,3.76,71
PASSES_ATTEMPTED,36.73,41
PASS_COMPLETION_PERCENTAGE,76.3,50
PROGRESSIVE_PASSES,2.65,29
PROGRESSIVE CARRIES,4.12,10
DRIBBLES_COMPLETED,1.63,50
TOUCHES_IN_AREA,2.29,10
PROGRESSIVE_PASSES_RECIEVED,5.19,27
PRESSURES,20.71,85
TACKLES,1.37,56
INTERCEPTIONS,1.12,73
BLOCKS,1.53,78
CLEARANCES,0.71,73
AERIAL_DUELS_WON,0.71,55
