Nilsson,Joakim,Arminia
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.14,4
ASSISTS,0.00,28
XA,0.00,11
NON_PEN_XG+XA,0.01,3
SHOT_CREATIONS,0.29,11
PASSES_ATTEMPTED,39.65,13
PASS_COMPLETION_PERCENTAGE,84.3,34
PROGRESSIVE_PASSES,2.00,24
PROGRESSIVE CARRIES,1.07,10
DRIBBLES_COMPLETED,0.09,15
TOUCHES_IN_AREA,0.35,9
PROGRESSIVE_PASSES_RECIEVED,0.09,28
PRESSURES,10.87,76
TACKLES,1.45,47
INTERCEPTIONS,1.57,39
BLOCKS,1.59,45
CLEARANCES,5.71,72
AERIAL_DUELS_WON,3.25,75
