Czyborra,Lennart-Marten,Arminia
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,79
NON_PEN_XG,0.02,35
TOTAL_SHOTS,0.41,29
ASSISTS,0.00,8
XA,0.02,2
NON_PEN_XG+XA,0.04,4
SHOT_CREATIONS,0.49,1
PASSES_ATTEMPTED,44.07,14
PASS_COMPLETION_PERCENTAGE,72.0,14
PROGRESSIVE_PASSES,2.11,4
PROGRESSIVE CARRIES,3.08,14
DRIBBLES_COMPLETED,0.89,56
TOUCHES_IN_AREA,0.81,21
PROGRESSIVE_PASSES_RECIEVED,1.54,30
PRESSURES,12.42,47
TACKLES,1.06,5
INTERCEPTIONS,1.30,26
BLOCKS,1.62,30
CLEARANCES,2.19,40
AERIAL_DUELS_WON,0.89,32
