Gouweleeuw,Jeffrey,Augsburg
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,43
NON_PEN_XG,0.02,11
TOTAL_SHOTS,0.33,21
ASSISTS,0.00,28
XA,0.01,26
NON_PEN_XG+XA,0.02,6
SHOT_CREATIONS,0.72,74
PASSES_ATTEMPTED,43.64,20
PASS_COMPLETION_PERCENTAGE,77.1,5
PROGRESSIVE_PASSES,3.31,74
PROGRESSIVE CARRIES,2.69,51
DRIBBLES_COMPLETED,0.52,90
TOUCHES_IN_AREA,0.72,40
PROGRESSIVE_PASSES_RECIEVED,0.30,78
PRESSURES,9.70,64
TACKLES,1.64,62
INTERCEPTIONS,2.10,75
BLOCKS,1.87,72
CLEARANCES,6.56,89
AERIAL_DUELS_WON,2.07,27
