Richards,Chris,Bayern Munich
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,56
NON_PEN_XG,0.05,65
TOTAL_SHOTS,0.50,52
ASSISTS,0.09,96
XA,0.02,64
NON_PEN_XG+XA,0.07,58
SHOT_CREATIONS,0.86,84
PASSES_ATTEMPTED,64.92,79
PASS_COMPLETION_PERCENTAGE,87.6,59
PROGRESSIVE_PASSES,3.91,85
PROGRESSIVE CARRIES,2.77,54
DRIBBLES_COMPLETED,0.18,43
TOUCHES_IN_AREA,0.77,48
PROGRESSIVE_PASSES_RECIEVED,0.27,76
PRESSURES,11.63,81
TACKLES,2.14,83
INTERCEPTIONS,2.14,76
BLOCKS,2.18,89
CLEARANCES,5.82,76
AERIAL_DUELS_WON,3.68,88
