Coman,Kingsley,Bayern Munich
AM,WM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,80
NON_PEN_XG,0.28,81
TOTAL_SHOTS,3.04,91
ASSISTS,0.25,72
XA,0.28,86
NON_PEN_XG+XA,0.56,85
SHOT_CREATIONS,4.57,88
PASSES_ATTEMPTED,46.44,79
PASS_COMPLETION_PERCENTAGE,78.2,62
PROGRESSIVE_PASSES,3.54,58
PROGRESSIVE CARRIES,11.31,98
DRIBBLES_COMPLETED,3.33,95
TOUCHES_IN_AREA,8.56,98
PROGRESSIVE_PASSES_RECIEVED,11.64,99
PRESSURES,16.86,55
TACKLES,1.28,43
INTERCEPTIONS,0.86,48
BLOCKS,1.11,45
CLEARANCES,0.29,19
AERIAL_DUELS_WON,0.62,47
