Cuisance,Mickaël,Bayern Munich
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,76
NON_PEN_XG,0.06,2
TOTAL_SHOTS,0.63,1
ASSISTS,0.00,1
XA,0.05,1
NON_PEN_XG+XA,0.11,1
SHOT_CREATIONS,1.58,2
PASSES_ATTEMPTED,48.47,83
PASS_COMPLETION_PERCENTAGE,87.0,99
PROGRESSIVE_PASSES,4.26,78
PROGRESSIVE CARRIES,5.21,32
DRIBBLES_COMPLETED,1.11,23
TOUCHES_IN_AREA,1.74,3
PROGRESSIVE_PASSES_RECIEVED,4.58,17
PRESSURES,29.53,99
TACKLES,2.37,95
INTERCEPTIONS,0.95,56
BLOCKS,1.26,56
CLEARANCES,1.11,90
AERIAL_DUELS_WON,0.63,48
