Lewandowski,Robert,Bayern Munich
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,1.10,99
NON_PEN_XG,0.94,99
TOTAL_SHOTS,4.56,98
ASSISTS,0.15,58
XA,0.19,81
NON_PEN_XG+XA,1.13,99
SHOT_CREATIONS,3.14,80
PASSES_ATTEMPTED,23.88,54
PASS_COMPLETION_PERCENTAGE,77.8,83
PROGRESSIVE_PASSES,1.84,69
PROGRESSIVE CARRIES,3.67,71
DRIBBLES_COMPLETED,1.03,55
TOUCHES_IN_AREA,8.40,98
PROGRESSIVE_PASSES_RECIEVED,8.77,77
PRESSURES,10.56,16
TACKLES,0.49,27
INTERCEPTIONS,0.32,38
BLOCKS,0.44,12
CLEARANCES,0.27,16
AERIAL_DUELS_WON,1.84,55
