Brandt,Julian,Dortmund
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,64
NON_PEN_XG,0.16,29
TOTAL_SHOTS,1.37,14
ASSISTS,0.20,57
XA,0.21,68
NON_PEN_XG+XA,0.37,45
SHOT_CREATIONS,3.74,70
PASSES_ATTEMPTED,55.52,93
PASS_COMPLETION_PERCENTAGE,79.8,73
PROGRESSIVE_PASSES,5.31,91
PROGRESSIVE CARRIES,6.52,61
DRIBBLES_COMPLETED,1.65,51
TOUCHES_IN_AREA,3.74,46
PROGRESSIVE_PASSES_RECIEVED,8.09,84
PRESSURES,22.69,96
TACKLES,1.97,86
INTERCEPTIONS,1.05,64
BLOCKS,1.77,89
CLEARANCES,0.44,38
AERIAL_DUELS_WON,0.32,18
