Schulz,Nico,Dortmund
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,18
TOTAL_SHOTS,0.14,4
ASSISTS,0.07,49
XA,0.05,22
NON_PEN_XG+XA,0.06,15
SHOT_CREATIONS,1.76,56
PASSES_ATTEMPTED,70.62,91
PASS_COMPLETION_PERCENTAGE,83.5,85
PROGRESSIVE_PASSES,4.63,79
PROGRESSIVE CARRIES,6.11,79
DRIBBLES_COMPLETED,0.35,10
TOUCHES_IN_AREA,1.90,72
PROGRESSIVE_PASSES_RECIEVED,2.74,72
PRESSURES,13.34,60
TACKLES,2.32,66
INTERCEPTIONS,1.83,68
BLOCKS,1.97,57
CLEARANCES,2.32,47
AERIAL_DUELS_WON,0.84,29
