Hasebe,Makoto,Eint Frankfurt
CB,DM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,4
TOTAL_SHOTS,0.07,1
ASSISTS,0.00,28
XA,0.01,53
NON_PEN_XG+XA,0.02,5
SHOT_CREATIONS,1.45,97
PASSES_ATTEMPTED,67.62,84
PASS_COMPLETION_PERCENTAGE,88.2,65
PROGRESSIVE_PASSES,5.62,99
PROGRESSIVE CARRIES,5.41,94
DRIBBLES_COMPLETED,0.21,52
TOUCHES_IN_AREA,0.11,1
PROGRESSIVE_PASSES_RECIEVED,1.06,97
PRESSURES,14.56,96
TACKLES,2.51,95
INTERCEPTIONS,1.77,55
BLOCKS,1.59,44
CLEARANCES,2.76,2
AERIAL_DUELS_WON,1.66,11
