Heintz,Dominique,Freiburg
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.13,4
ASSISTS,0.00,28
XA,0.04,90
NON_PEN_XG+XA,0.04,22
SHOT_CREATIONS,0.27,8
PASSES_ATTEMPTED,68.54,87
PASS_COMPLETION_PERCENTAGE,85.3,38
PROGRESSIVE_PASSES,5.10,95
PROGRESSIVE CARRIES,3.49,73
DRIBBLES_COMPLETED,0.67,95
TOUCHES_IN_AREA,0.13,2
PROGRESSIVE_PASSES_RECIEVED,0.27,75
PRESSURES,8.58,47
TACKLES,1.61,60
INTERCEPTIONS,2.01,70
BLOCKS,1.21,8
CLEARANCES,4.02,23
AERIAL_DUELS_WON,1.88,18
