Haberer,Janik,Freiburg
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,80
NON_PEN_XG,0.16,94
TOTAL_SHOTS,1.62,90
ASSISTS,0.00,11
XA,0.01,4
NON_PEN_XG+XA,0.17,70
SHOT_CREATIONS,1.16,16
PASSES_ATTEMPTED,35.95,12
PASS_COMPLETION_PERCENTAGE,80.6,31
PROGRESSIVE_PASSES,2.78,18
PROGRESSIVE CARRIES,2.90,27
DRIBBLES_COMPLETED,0.81,54
TOUCHES_IN_AREA,1.74,79
PROGRESSIVE_PASSES_RECIEVED,3.13,85
PRESSURES,24.12,92
TACKLES,1.51,14
INTERCEPTIONS,1.28,27
BLOCKS,1.97,81
CLEARANCES,2.67,95
AERIAL_DUELS_WON,2.09,85
