Höfler,Nicolas,Freiburg
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,73
NON_PEN_XG,0.08,66
TOTAL_SHOTS,1.03,59
ASSISTS,0.09,65
XA,0.05,38
NON_PEN_XG+XA,0.13,49
SHOT_CREATIONS,1.22,18
PASSES_ATTEMPTED,41.98,25
PASS_COMPLETION_PERCENTAGE,84.1,53
PROGRESSIVE_PASSES,3.38,40
PROGRESSIVE CARRIES,2.03,9
DRIBBLES_COMPLETED,1.19,78
TOUCHES_IN_AREA,1.34,61
PROGRESSIVE_PASSES_RECIEVED,0.94,16
PRESSURES,19.07,58
TACKLES,2.56,69
INTERCEPTIONS,1.69,57
BLOCKS,1.81,72
CLEARANCES,1.97,79
AERIAL_DUELS_WON,2.28,88
