Keitel,Yannik,Freiburg
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.10,80
TOTAL_SHOTS,1.85,95
ASSISTS,0.00,11
XA,0.02,8
NON_PEN_XG+XA,0.13,49
SHOT_CREATIONS,1.20,18
PASSES_ATTEMPTED,34.39,9
PASS_COMPLETION_PERCENTAGE,76.3,10
PROGRESSIVE_PASSES,2.78,18
PROGRESSIVE CARRIES,1.67,5
DRIBBLES_COMPLETED,0.37,13
TOUCHES_IN_AREA,1.58,73
PROGRESSIVE_PASSES_RECIEVED,1.95,60
PRESSURES,17.33,42
TACKLES,2.60,72
INTERCEPTIONS,1.48,40
BLOCKS,1.67,60
CLEARANCES,1.85,74
AERIAL_DUELS_WON,2.97,95
