Abiama,Dickson,Greuther Fürth
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.32,42
TOTAL_SHOTS,2.43,53
ASSISTS,0.16,64
XA,0.18,78
NON_PEN_XG+XA,0.50,56
SHOT_CREATIONS,2.43,62
PASSES_ATTEMPTED,17.64,13
PASS_COMPLETION_PERCENTAGE,68.8,27
PROGRESSIVE_PASSES,2.10,73
PROGRESSIVE CARRIES,2.27,37
DRIBBLES_COMPLETED,0.97,50
TOUCHES_IN_AREA,3.72,9
PROGRESSIVE_PASSES_RECIEVED,6.47,31
PRESSURES,21.85,96
TACKLES,2.10,99
INTERCEPTIONS,0.81,96
BLOCKS,0.81,61
CLEARANCES,0.65,48
AERIAL_DUELS_WON,2.43,65
