Nunoo Sarpei,Hans,Greuther Fürth
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,10
TOTAL_SHOTS,0.42,39
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.01,2
SHOT_CREATIONS,0.56,54
PASSES_ATTEMPTED,44.51,25
PASS_COMPLETION_PERCENTAGE,83.0,23
PROGRESSIVE_PASSES,1.68,12
PROGRESSIVE CARRIES,1.54,22
DRIBBLES_COMPLETED,0.28,68
TOUCHES_IN_AREA,0.42,12
PROGRESSIVE_PASSES_RECIEVED,0.28,76
PRESSURES,10.92,76
TACKLES,2.52,95
INTERCEPTIONS,2.10,75
BLOCKS,1.54,39
CLEARANCES,4.62,39
AERIAL_DUELS_WON,1.82,15
