Dudziak,Jeremy,Greuther Fürth
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,30
NON_PEN_XG,0.20,51
TOTAL_SHOTS,1.09,5
ASSISTS,0.00,1
XA,0.17,50
NON_PEN_XG+XA,0.37,47
SHOT_CREATIONS,2.81,30
PASSES_ATTEMPTED,31.66,23
PASS_COMPLETION_PERCENTAGE,65.5,7
PROGRESSIVE_PASSES,2.34,22
PROGRESSIVE CARRIES,3.43,5
DRIBBLES_COMPLETED,1.40,39
TOUCHES_IN_AREA,2.50,13
PROGRESSIVE_PASSES_RECIEVED,5.46,33
PRESSURES,22.93,96
TACKLES,0.78,9
INTERCEPTIONS,1.72,98
BLOCKS,1.56,80
CLEARANCES,0.16,7
AERIAL_DUELS_WON,1.25,81
