Meyerhöfer,Marco,Greuther Fürth
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,76
NON_PEN_XG,0.03,37
TOTAL_SHOTS,0.35,21
ASSISTS,0.00,8
XA,0.03,13
NON_PEN_XG+XA,0.06,15
SHOT_CREATIONS,1.33,29
PASSES_ATTEMPTED,50.16,39
PASS_COMPLETION_PERCENTAGE,76.4,38
PROGRESSIVE_PASSES,3.98,65
PROGRESSIVE CARRIES,3.56,27
DRIBBLES_COMPLETED,0.77,50
TOUCHES_IN_AREA,0.84,23
PROGRESSIVE_PASSES_RECIEVED,0.91,8
PRESSURES,11.72,36
TACKLES,2.30,66
INTERCEPTIONS,1.95,77
BLOCKS,2.44,88
CLEARANCES,3.35,89
AERIAL_DUELS_WON,1.05,40
