Christiansen,Max,Greuther Fürth
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.23,2
ASSISTS,0.00,11
XA,0.00,1
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,1.15,16
PASSES_ATTEMPTED,40.17,20
PASS_COMPLETION_PERCENTAGE,83.7,50
PROGRESSIVE_PASSES,2.53,12
PROGRESSIVE CARRIES,2.30,16
DRIBBLES_COMPLETED,0.35,11
TOUCHES_IN_AREA,0.46,12
PROGRESSIVE_PASSES_RECIEVED,0.69,9
PRESSURES,17.95,47
TACKLES,2.30,55
INTERCEPTIONS,3.91,99
BLOCKS,1.96,81
CLEARANCES,2.88,96
AERIAL_DUELS_WON,2.07,85
