Griesbeck,Sebastian,Greuther Fürth
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,9
TOTAL_SHOTS,0.31,5
ASSISTS,0.00,11
XA,0.01,1
NON_PEN_XG+XA,0.02,2
SHOT_CREATIONS,0.37,1
PASSES_ATTEMPTED,25.89,2
PASS_COMPLETION_PERCENTAGE,77.5,14
PROGRESSIVE_PASSES,1.78,3
PROGRESSIVE CARRIES,0.67,1
DRIBBLES_COMPLETED,0.12,1
TOUCHES_IN_AREA,0.86,36
PROGRESSIVE_PASSES_RECIEVED,1.29,34
PRESSURES,18.34,48
TACKLES,2.70,76
INTERCEPTIONS,1.23,25
BLOCKS,1.53,50
CLEARANCES,2.52,92
AERIAL_DUELS_WON,2.02,82
