"b'Piatek, Krzysztof'",Hertha BSC
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,41
NON_PEN_XG,0.41,69
TOTAL_SHOTS,2.66,65
ASSISTS,0.00,5
XA,0.04,4
NON_PEN_XG+XA,0.45,44
SHOT_CREATIONS,1.39,9
PASSES_ATTEMPTED,22.83,46
PASS_COMPLETION_PERCENTAGE,69.0,28
PROGRESSIVE_PASSES,0.76,7
PROGRESSIVE CARRIES,1.52,11
DRIBBLES_COMPLETED,0.44,9
TOUCHES_IN_AREA,4.55,30
PROGRESSIVE_PASSES_RECIEVED,7.15,43
PRESSURES,24.16,98
TACKLES,0.44,24
INTERCEPTIONS,0.25,22
BLOCKS,1.01,78
CLEARANCES,1.01,80
AERIAL_DUELS_WON,3.04,76
