Plattenhardt,Marvin,Hertha BSC
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,22
TOTAL_SHOTS,0.40,29
ASSISTS,0.11,67
XA,0.14,84
NON_PEN_XG+XA,0.16,72
SHOT_CREATIONS,2.90,93
PASSES_ATTEMPTED,54.11,59
PASS_COMPLETION_PERCENTAGE,73.8,24
PROGRESSIVE_PASSES,3.24,37
PROGRESSIVE CARRIES,3.24,17
DRIBBLES_COMPLETED,0.28,7
TOUCHES_IN_AREA,0.11,1
PROGRESSIVE_PASSES_RECIEVED,0.74,4
PRESSURES,11.53,32
TACKLES,1.99,46
INTERCEPTIONS,0.80,2
BLOCKS,2.27,81
CLEARANCES,1.87,27
AERIAL_DUELS_WON,0.85,30
