Stark,Niklas,Hertha BSC
CB,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.33,22
ASSISTS,0.00,28
XA,0.01,47
NON_PEN_XG+XA,0.04,18
SHOT_CREATIONS,0.36,23
PASSES_ATTEMPTED,51.60,48
PASS_COMPLETION_PERCENTAGE,85.9,43
PROGRESSIVE_PASSES,3.03,63
PROGRESSIVE CARRIES,2.52,47
DRIBBLES_COMPLETED,0.18,42
TOUCHES_IN_AREA,0.60,26
PROGRESSIVE_PASSES_RECIEVED,0.12,39
PRESSURES,9.65,63
TACKLES,1.83,73
INTERCEPTIONS,1.59,42
BLOCKS,1.77,61
CLEARANCES,6.36,85
AERIAL_DUELS_WON,3.12,70
