Ascacíbar,Santiago,Hertha BSC
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,46
NON_PEN_XG,0.07,52
TOTAL_SHOTS,0.56,24
ASSISTS,0.00,11
XA,0.02,9
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.27,21
PASSES_ATTEMPTED,45.63,35
PASS_COMPLETION_PERCENTAGE,83.6,49
PROGRESSIVE_PASSES,2.86,19
PROGRESSIVE CARRIES,2.11,12
DRIBBLES_COMPLETED,0.42,16
TOUCHES_IN_AREA,0.94,42
PROGRESSIVE_PASSES_RECIEVED,0.66,8
PRESSURES,24.74,94
TACKLES,3.75,96
INTERCEPTIONS,2.25,89
BLOCKS,2.16,90
CLEARANCES,1.97,78
AERIAL_DUELS_WON,1.50,65
