Darida,Vladimír,Hertha BSC
AM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,51
NON_PEN_XG,0.07,60
TOTAL_SHOTS,1.25,75
ASSISTS,0.31,99
XA,0.31,99
NON_PEN_XG+XA,0.37,98
SHOT_CREATIONS,3.17,93
PASSES_ATTEMPTED,46.92,38
PASS_COMPLETION_PERCENTAGE,74.0,5
PROGRESSIVE_PASSES,3.90,50
PROGRESSIVE CARRIES,3.85,50
DRIBBLES_COMPLETED,1.04,70
TOUCHES_IN_AREA,1.87,80
PROGRESSIVE_PASSES_RECIEVED,5.25,95
PRESSURES,16.89,34
TACKLES,1.51,14
INTERCEPTIONS,1.56,46
BLOCKS,1.30,27
CLEARANCES,1.20,33
AERIAL_DUELS_WON,0.88,36
