Samassékou,Diadie,Hoffenheim
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,61
NON_PEN_XG,0.04,28
TOTAL_SHOTS,0.63,29
ASSISTS,0.07,54
XA,0.03,18
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.26,20
PASSES_ATTEMPTED,43.14,29
PASS_COMPLETION_PERCENTAGE,83.3,46
PROGRESSIVE_PASSES,2.52,12
PROGRESSIVE CARRIES,2.35,17
DRIBBLES_COMPLETED,0.84,56
TOUCHES_IN_AREA,0.84,36
PROGRESSIVE_PASSES_RECIEVED,1.44,40
PRESSURES,15.84,26
TACKLES,2.17,48
INTERCEPTIONS,2.35,91
BLOCKS,1.82,73
CLEARANCES,2.59,94
AERIAL_DUELS_WON,1.54,67
