Rutter,Georginio,Hoffenheim
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.47,76
NON_PEN_XG,0.36,54
TOTAL_SHOTS,3.04,80
ASSISTS,0.19,75
XA,0.20,85
NON_PEN_XG+XA,0.55,67
SHOT_CREATIONS,2.28,54
PASSES_ATTEMPTED,19.75,22
PASS_COMPLETION_PERCENTAGE,65.9,14
PROGRESSIVE_PASSES,1.42,46
PROGRESSIVE CARRIES,3.80,74
DRIBBLES_COMPLETED,2.28,96
TOUCHES_IN_AREA,5.89,73
PROGRESSIVE_PASSES_RECIEVED,8.64,73
PRESSURES,18.80,86
TACKLES,1.71,99
INTERCEPTIONS,0.57,76
BLOCKS,0.57,25
CLEARANCES,0.38,26
AERIAL_DUELS_WON,2.85,74
