Akpoguma,Kevin,Hoffenheim
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,93
NON_PEN_XG,0.07,79
TOTAL_SHOTS,0.83,74
ASSISTS,0.08,51
XA,0.11,76
NON_PEN_XG+XA,0.18,78
SHOT_CREATIONS,1.58,47
PASSES_ATTEMPTED,58.82,75
PASS_COMPLETION_PERCENTAGE,77.3,48
PROGRESSIVE_PASSES,4.96,85
PROGRESSIVE CARRIES,4.73,56
DRIBBLES_COMPLETED,0.98,64
TOUCHES_IN_AREA,2.40,85
PROGRESSIVE_PASSES_RECIEVED,1.43,26
PRESSURES,14.35,72
TACKLES,1.80,36
INTERCEPTIONS,1.65,55
BLOCKS,3.23,99
CLEARANCES,1.43,11
AERIAL_DUELS_WON,1.73,81
