"b'Kaderabek, Pavel'",Hoffenheim
AM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,59
NON_PEN_XG,0.08,87
TOTAL_SHOTS,0.64,55
ASSISTS,0.25,93
XA,0.25,97
NON_PEN_XG+XA,0.33,97
SHOT_CREATIONS,2.65,89
PASSES_ATTEMPTED,57.89,72
PASS_COMPLETION_PERCENTAGE,73.8,24
PROGRESSIVE_PASSES,5.54,93
PROGRESSIVE CARRIES,5.64,72
DRIBBLES_COMPLETED,0.49,21
TOUCHES_IN_AREA,2.75,88
PROGRESSIVE_PASSES_RECIEVED,6.27,99
PRESSURES,7.79,3
TACKLES,1.03,4
INTERCEPTIONS,1.13,14
BLOCKS,1.23,5
CLEARANCES,2.30,46
AERIAL_DUELS_WON,2.84,98
