Posch,Stefan,Hoffenheim
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,48
NON_PEN_XG,0.02,10
TOTAL_SHOTS,0.34,23
ASSISTS,0.00,28
XA,0.03,81
NON_PEN_XG+XA,0.04,28
SHOT_CREATIONS,0.75,76
PASSES_ATTEMPTED,59.60,70
PASS_COMPLETION_PERCENTAGE,81.5,15
PROGRESSIVE_PASSES,4.16,89
PROGRESSIVE CARRIES,3.56,75
DRIBBLES_COMPLETED,0.22,55
TOUCHES_IN_AREA,0.64,30
PROGRESSIVE_PASSES_RECIEVED,0.22,70
PRESSURES,11.91,84
TACKLES,2.73,98
INTERCEPTIONS,1.53,36
BLOCKS,2.36,95
CLEARANCES,3.93,18
AERIAL_DUELS_WON,2.36,43
