Czichos,Rafael,Köln
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,42
NON_PEN_XG,0.04,44
TOTAL_SHOTS,0.29,16
ASSISTS,0.03,66
XA,0.02,58
NON_PEN_XG+XA,0.06,45
SHOT_CREATIONS,0.60,58
PASSES_ATTEMPTED,60.06,71
PASS_COMPLETION_PERCENTAGE,83.9,31
PROGRESSIVE_PASSES,4.38,91
PROGRESSIVE CARRIES,3.17,64
DRIBBLES_COMPLETED,0.19,45
TOUCHES_IN_AREA,0.73,42
PROGRESSIVE_PASSES_RECIEVED,0.13,41
PRESSURES,10.79,75
TACKLES,2.35,89
INTERCEPTIONS,2.00,70
BLOCKS,1.84,69
CLEARANCES,5.52,66
AERIAL_DUELS_WON,3.27,77
