Aránguiz,Charles,Leverkusen
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,7
TOTAL_SHOTS,0.24,3
ASSISTS,0.00,11
XA,0.04,25
NON_PEN_XG+XA,0.06,12
SHOT_CREATIONS,1.81,50
PASSES_ATTEMPTED,62.01,77
PASS_COMPLETION_PERCENTAGE,86.0,68
PROGRESSIVE_PASSES,5.08,76
PROGRESSIVE CARRIES,2.28,16
DRIBBLES_COMPLETED,0.59,32
TOUCHES_IN_AREA,0.71,25
PROGRESSIVE_PASSES_RECIEVED,1.42,40
PRESSURES,22.91,88
TACKLES,2.40,58
INTERCEPTIONS,1.97,78
BLOCKS,2.20,92
CLEARANCES,1.06,26
AERIAL_DUELS_WON,0.51,11
