Tapsoba,Edmond,Leverkusen
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,67
NON_PEN_XG,0.03,27
TOTAL_SHOTS,0.52,56
ASSISTS,0.00,28
XA,0.01,48
NON_PEN_XG+XA,0.04,24
SHOT_CREATIONS,0.83,82
PASSES_ATTEMPTED,81.03,98
PASS_COMPLETION_PERCENTAGE,90.2,80
PROGRESSIVE_PASSES,4.16,89
PROGRESSIVE CARRIES,4.50,85
DRIBBLES_COMPLETED,0.49,88
TOUCHES_IN_AREA,0.83,53
PROGRESSIVE_PASSES_RECIEVED,0.37,87
PRESSURES,12.49,89
TACKLES,2.23,86
INTERCEPTIONS,2.23,84
BLOCKS,2.26,92
CLEARANCES,4.65,40
AERIAL_DUELS_WON,2.20,36
