Paulinho,,Leverkusen
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.22,57
TOTAL_SHOTS,1.56,25
ASSISTS,0.22,66
XA,0.17,48
NON_PEN_XG+XA,0.38,49
SHOT_CREATIONS,3.46,60
PASSES_ATTEMPTED,34.73,30
PASS_COMPLETION_PERCENTAGE,84.2,95
PROGRESSIVE_PASSES,3.13,44
PROGRESSIVE CARRIES,7.03,71
DRIBBLES_COMPLETED,2.57,88
TOUCHES_IN_AREA,4.47,63
PROGRESSIVE_PASSES_RECIEVED,8.04,82
PRESSURES,15.74,49
TACKLES,1.67,72
INTERCEPTIONS,0.78,36
BLOCKS,1.56,81
CLEARANCES,0.45,39
AERIAL_DUELS_WON,0.56,40
