Andrich,Robert,Leverkusen
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,96
NON_PEN_XG,0.13,87
TOTAL_SHOTS,1.71,91
ASSISTS,0.10,68
XA,0.06,47
NON_PEN_XG+XA,0.19,76
SHOT_CREATIONS,1.68,44
PASSES_ATTEMPTED,50.34,49
PASS_COMPLETION_PERCENTAGE,80.3,28
PROGRESSIVE_PASSES,4.26,59
PROGRESSIVE CARRIES,3.09,31
DRIBBLES_COMPLETED,0.47,22
TOUCHES_IN_AREA,1.34,61
PROGRESSIVE_PASSES_RECIEVED,1.31,35
PRESSURES,19.53,63
TACKLES,2.01,39
INTERCEPTIONS,2.48,94
BLOCKS,1.95,81
CLEARANCES,1.88,74
AERIAL_DUELS_WON,2.11,87
