Zakaria,Denis,M'Gladbach
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,77
NON_PEN_XG,0.08,67
TOTAL_SHOTS,0.91,48
ASSISTS,0.07,55
XA,0.05,31
NON_PEN_XG+XA,0.13,47
SHOT_CREATIONS,1.44,31
PASSES_ATTEMPTED,46.49,37
PASS_COMPLETION_PERCENTAGE,89.6,91
PROGRESSIVE_PASSES,3.83,49
PROGRESSIVE CARRIES,4.18,57
DRIBBLES_COMPLETED,1.48,90
TOUCHES_IN_AREA,0.98,45
PROGRESSIVE_PASSES_RECIEVED,1.72,52
PRESSURES,12.83,8
TACKLES,1.65,19
INTERCEPTIONS,2.14,87
BLOCKS,2.14,89
CLEARANCES,1.76,70
AERIAL_DUELS_WON,0.95,40
