Scally,Joseph,M'Gladbach
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,72
NON_PEN_XG,0.05,68
TOTAL_SHOTS,0.78,71
ASSISTS,0.13,72
XA,0.09,59
NON_PEN_XG+XA,0.14,60
SHOT_CREATIONS,1.88,62
PASSES_ATTEMPTED,52.33,50
PASS_COMPLETION_PERCENTAGE,79.9,66
PROGRESSIVE_PASSES,3.70,54
PROGRESSIVE CARRIES,4.60,54
DRIBBLES_COMPLETED,1.10,73
TOUCHES_IN_AREA,1.30,49
PROGRESSIVE_PASSES_RECIEVED,2.59,69
PRESSURES,17.31,90
TACKLES,1.69,28
INTERCEPTIONS,1.88,73
BLOCKS,1.49,19
CLEARANCES,1.49,14
AERIAL_DUELS_WON,0.97,35
