Lainer,Stefan,M'Gladbach
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,54
NON_PEN_XG,0.08,84
TOTAL_SHOTS,0.65,58
ASSISTS,0.08,54
XA,0.10,67
NON_PEN_XG+XA,0.17,76
SHOT_CREATIONS,1.76,56
PASSES_ATTEMPTED,51.50,44
PASS_COMPLETION_PERCENTAGE,75.6,34
PROGRESSIVE_PASSES,4.30,74
PROGRESSIVE CARRIES,5.32,66
DRIBBLES_COMPLETED,0.53,27
TOUCHES_IN_AREA,2.13,78
PROGRESSIVE_PASSES_RECIEVED,2.78,73
PRESSURES,14.97,77
TACKLES,2.17,59
INTERCEPTIONS,1.64,54
BLOCKS,2.21,77
CLEARANCES,2.70,67
AERIAL_DUELS_WON,1.06,41
