Burkardt,Jonathan,Mainz 05
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,54
NON_PEN_XG,0.39,62
TOTAL_SHOTS,2.41,51
ASSISTS,0.09,32
XA,0.12,52
NON_PEN_XG+XA,0.51,58
SHOT_CREATIONS,2.28,54
PASSES_ATTEMPTED,21.35,35
PASS_COMPLETION_PERCENTAGE,72.0,46
PROGRESSIVE_PASSES,1.72,61
PROGRESSIVE CARRIES,3.95,75
DRIBBLES_COMPLETED,1.25,68
TOUCHES_IN_AREA,5.16,49
PROGRESSIVE_PASSES_RECIEVED,7.39,46
PRESSURES,17.83,79
TACKLES,1.16,84
INTERCEPTIONS,0.34,41
BLOCKS,1.16,86
CLEARANCES,0.52,38
AERIAL_DUELS_WON,1.55,42
