Onisiwo,Karim,Mainz 05
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,12
NON_PEN_XG,0.35,49
TOTAL_SHOTS,2.96,78
ASSISTS,0.20,77
XA,0.18,80
NON_PEN_XG+XA,0.54,64
SHOT_CREATIONS,2.84,72
PASSES_ATTEMPTED,21.11,34
PASS_COMPLETION_PERCENTAGE,61.4,5
PROGRESSIVE_PASSES,1.12,26
PROGRESSIVE CARRIES,4.48,80
DRIBBLES_COMPLETED,1.84,91
TOUCHES_IN_AREA,6.80,88
PROGRESSIVE_PASSES_RECIEVED,9.28,85
PRESSURES,22.11,96
TACKLES,1.32,92
INTERCEPTIONS,0.56,75
BLOCKS,1.24,89
CLEARANCES,0.24,14
AERIAL_DUELS_WON,2.64,70
