Szoboszlai,Dominik,RB Leipzig
LAM,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,79
NON_PEN_XG,0.30,84
TOTAL_SHOTS,2.13,59
ASSISTS,0.33,89
XA,0.34,96
NON_PEN_XG+XA,0.65,91
SHOT_CREATIONS,5.24,95
PASSES_ATTEMPTED,53.31,91
PASS_COMPLETION_PERCENTAGE,76.2,50
PROGRESSIVE_PASSES,4.09,75
PROGRESSIVE CARRIES,5.81,45
DRIBBLES_COMPLETED,0.98,17
TOUCHES_IN_AREA,4.34,60
PROGRESSIVE_PASSES_RECIEVED,7.37,72
PRESSURES,19.98,82
TACKLES,1.47,60
INTERCEPTIONS,0.49,10
BLOCKS,2.21,98
CLEARANCES,1.23,95
AERIAL_DUELS_WON,1.06,77
