Laimer,Konrad,RB Leipzig
CB,CM,WM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,74
NON_PEN_XG,0.17,94
TOTAL_SHOTS,1.36,80
ASSISTS,0.10,67
XA,0.14,88
NON_PEN_XG+XA,0.30,93
SHOT_CREATIONS,1.95,57
PASSES_ATTEMPTED,50.94,52
PASS_COMPLETION_PERCENTAGE,77.8,15
PROGRESSIVE_PASSES,5.26,80
PROGRESSIVE CARRIES,5.65,84
DRIBBLES_COMPLETED,0.78,50
TOUCHES_IN_AREA,2.53,90
PROGRESSIVE_PASSES_RECIEVED,2.92,81
PRESSURES,36.43,99
TACKLES,3.21,90
INTERCEPTIONS,1.17,21
BLOCKS,2.05,86
CLEARANCES,0.88,18
AERIAL_DUELS_WON,1.07,46
