Mukiele,Nordi,RB Leipzig
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.17,97
NON_PEN_XG,0.11,94
TOTAL_SHOTS,1.05,86
ASSISTS,0.03,22
XA,0.06,37
NON_PEN_XG+XA,0.17,75
SHOT_CREATIONS,1.46,40
PASSES_ATTEMPTED,59.37,76
PASS_COMPLETION_PERCENTAGE,76.0,36
PROGRESSIVE_PASSES,4.96,85
PROGRESSIVE CARRIES,4.35,45
DRIBBLES_COMPLETED,0.68,43
TOUCHES_IN_AREA,2.95,92
PROGRESSIVE_PASSES_RECIEVED,2.89,76
PRESSURES,14.84,76
TACKLES,2.38,69
INTERCEPTIONS,2.14,85
BLOCKS,2.34,85
CLEARANCES,2.95,78
AERIAL_DUELS_WON,3.12,99
