Orban,Willi,RB Leipzig
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,82
NON_PEN_XG,0.14,99
TOTAL_SHOTS,1.05,98
ASSISTS,0.06,87
XA,0.05,94
NON_PEN_XG+XA,0.19,99
SHOT_CREATIONS,0.72,73
PASSES_ATTEMPTED,69.98,89
PASS_COMPLETION_PERCENTAGE,88.8,69
PROGRESSIVE_PASSES,4.95,95
PROGRESSIVE CARRIES,5.28,93
DRIBBLES_COMPLETED,0.24,58
TOUCHES_IN_AREA,1.71,98
PROGRESSIVE_PASSES_RECIEVED,0.24,71
PRESSURES,8.68,47
TACKLES,1.62,61
INTERCEPTIONS,1.56,39
BLOCKS,1.80,64
CLEARANCES,5.67,72
AERIAL_DUELS_WON,4.62,98
