Oczipka,Bastian,Union Berlin
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.09,1
ASSISTS,0.17,85
XA,0.04,20
NON_PEN_XG+XA,0.05,10
SHOT_CREATIONS,1.40,35
PASSES_ATTEMPTED,49.72,37
PASS_COMPLETION_PERCENTAGE,80.0,67
PROGRESSIVE_PASSES,2.45,8
PROGRESSIVE CARRIES,3.23,17
DRIBBLES_COMPLETED,0.44,17
TOUCHES_IN_AREA,0.61,13
PROGRESSIVE_PASSES_RECIEVED,0.96,10
PRESSURES,6.90,1
TACKLES,1.31,10
INTERCEPTIONS,2.10,84
BLOCKS,2.01,62
CLEARANCES,2.71,68
AERIAL_DUELS_WON,1.05,40
