Becker,Sheraldo,Union Berlin
RM,WM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,34
NON_PEN_XG,0.20,9
TOTAL_SHOTS,2.31,43
ASSISTS,0.29,91
XA,0.31,98
NON_PEN_XG+XA,0.51,60
SHOT_CREATIONS,3.85,95
PASSES_ATTEMPTED,28.01,72
PASS_COMPLETION_PERCENTAGE,59.1,1
PROGRESSIVE_PASSES,1.83,69
PROGRESSIVE CARRIES,7.22,96
DRIBBLES_COMPLETED,1.44,76
TOUCHES_IN_AREA,4.33,22
PROGRESSIVE_PASSES_RECIEVED,7.99,60
PRESSURES,11.65,22
TACKLES,0.67,48
INTERCEPTIONS,0.67,84
BLOCKS,0.77,54
CLEARANCES,0.19,9
AERIAL_DUELS_WON,0.67,13
