Brooks,John,Wolfsburg
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,39
NON_PEN_XG,0.05,53
TOTAL_SHOTS,0.59,69
ASSISTS,0.03,62
XA,0.01,53
NON_PEN_XG+XA,0.06,50
SHOT_CREATIONS,0.56,54
PASSES_ATTEMPTED,60.63,72
PASS_COMPLETION_PERCENTAGE,85.5,40
PROGRESSIVE_PASSES,3.79,82
PROGRESSIVE CARRIES,3.34,69
DRIBBLES_COMPLETED,0.25,61
TOUCHES_IN_AREA,0.95,68
PROGRESSIVE_PASSES_RECIEVED,0.17,54
PRESSURES,9.29,58
TACKLES,1.77,69
INTERCEPTIONS,2.05,73
BLOCKS,1.52,36
CLEARANCES,5.89,78
AERIAL_DUELS_WON,3.25,76
