Roussillon,Jérôme,Wolfsburg
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,71
NON_PEN_XG,0.05,66
TOTAL_SHOTS,0.63,55
ASSISTS,0.06,44
XA,0.04,15
NON_PEN_XG+XA,0.09,30
SHOT_CREATIONS,1.14,18
PASSES_ATTEMPTED,45.69,21
PASS_COMPLETION_PERCENTAGE,76.1,37
PROGRESSIVE_PASSES,3.98,65
PROGRESSIVE CARRIES,5.43,69
DRIBBLES_COMPLETED,1.14,76
TOUCHES_IN_AREA,1.14,41
PROGRESSIVE_PASSES_RECIEVED,2.21,56
PRESSURES,14.20,71
TACKLES,1.70,29
INTERCEPTIONS,1.64,55
BLOCKS,2.97,99
CLEARANCES,2.21,41
AERIAL_DUELS_WON,1.07,43
