Waldschmidt,Luca,Wolfsburg
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,21
NON_PEN_XG,0.17,34
TOTAL_SHOTS,1.95,50
ASSISTS,0.00,1
XA,0.07,2
NON_PEN_XG+XA,0.23,10
SHOT_CREATIONS,2.08,8
PASSES_ATTEMPTED,29.70,15
PASS_COMPLETION_PERCENTAGE,83.3,92
PROGRESSIVE_PASSES,3.13,44
PROGRESSIVE CARRIES,2.60,1
DRIBBLES_COMPLETED,0.91,14
TOUCHES_IN_AREA,3.00,26
PROGRESSIVE_PASSES_RECIEVED,5.34,31
PRESSURES,12.50,17
TACKLES,1.17,33
INTERCEPTIONS,1.04,63
BLOCKS,0.91,21
CLEARANCES,0.39,32
AERIAL_DUELS_WON,0.78,63
